CreateMeshBuilder,,,,
AddVertex,-0.01,0.1,14,
AddVertex,-0.01,0.7,14,
AddVertex,-0.01,0.7,11,
AddVertex,-0.01,0.1,11,
AddFace2,0,1,2,3
LoadTexture,desto_ael_2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
Translate,0,5.4,0,
,,,,
CreateMeshBuilder,,,,
AddVertex,0.51,0.1,14,
AddVertex,0.51,0.7,14,
AddVertex,0.51,0.7,11,
AddVertex,0.51,0.1,11,
AddFace2,3,2,1,0
LoadTexture,eastharbour_ae4_2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
Translate,0,5.4,0,
,,,,
CreateMeshBuilder,,,,
Cube,0.25,0.4,12.5,
Translate,0.25,5.8,12.5,
SetColor,64,64,64,
,,,,
CreateMeshBuilder,,,,
AddVertex,0.2,6.2,0.2,
AddVertex,0.2,12.8,0.2,
AddVertex,0.3,12.8,0.2,
AddVertex,0.3,6.2,0.2,
AddFace2,0,1,2,3
SetColor,80,80,80,
,,,,
CreateMeshBuilder,,,,
AddVertex,0.01,-0.01,11,
AddVertex,0.01,-0.01,14,
AddVertex,0.49,-0.01,14,
AddVertex,0.49,-0.01,11,
AddFace2,0,1,2,3
LoadTexture,light.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
Translate,0,5.4,0,
,,,,
CreateMeshBuilder,,,,
AddVertex,0.2,6.2,24.8,
AddVertex,0.2,12.8,24.8,
AddVertex,0.3,12.8,24.8,
AddVertex,0.3,6.2,24.8,
AddFace2,0,1,2,3
SetColor,80,80,80,
,,,,
TranslateAll,0,-1.6,0,
