;Left Thickness;,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.7,1.9,1.79,
AddVertex,-1.7,3.27,1.79,
AddVertex,-1.8,3.27,1.79,
AddVertex,-1.8,1.9,1.79,
AddFace2,3,2,1,0
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.75,1.9,1.791,
AddVertex,-1.75,3.27,1.791,
AddVertex,-1.8,3.27,1.791,
AddVertex,-1.8,1.9,1.791,
AddFace2,3,2,1,0
LoadTexture,doorinsert.bmp,,,
SETTextureCoordinates,0,1,1,
SETTextureCoordinates,1,1,0,
SETTextureCoordinates,2,0,0,
SETTextureCoordinates,3,0,1,
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.8,1.17,1.79,
AddVertex,-1.8,1.9,1.79,
AddVertex,-1.7,1.9,1.79,
AddVertex,-1.7,1.17,1.79,
AddFace2,0,1,2,3
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.75,1.17,1.791,
AddVertex,-1.75,1.9,1.791,
AddVertex,-1.8,1.9,1.791,
AddVertex,-1.8,1.17,1.791,
AddFace2,3,2,1,0
SetColor,255,255,255,
LoadTexture,doorinsert.bmp,,,
SETTextureCoordinates,0,1,1,
SETTextureCoordinates,1,1,0,
SETTextureCoordinates,2,0,0,
SETTextureCoordinates,3,0,1,
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.8,1.9,-1.84,
AddVertex,-1.8,3.27,-1.84,
AddVertex,-1.7,3.27,-1.84,
AddVertex,-1.7,1.9,-1.84,
AddFace2,0,1,2,3
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.75,1.9,-1.841,
AddVertex,-1.75,3.27,-1.841,
AddVertex,-1.8,3.27,-1.841,
AddVertex,-1.8,1.9,-1.841,
AddFace2,3,2,1,0
LoadTexture,doorinsert.bmp,,,
SETTextureCoordinates,0,1,1,
SETTextureCoordinates,1,1,0,
SETTextureCoordinates,2,0,0,
SETTextureCoordinates,3,0,1,
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.8,1.17,-1.84,
AddVertex,-1.8,1.9,-1.84,
AddVertex,-1.7,1.9,-1.84,
AddVertex,-1.7,1.17,-1.84,
AddFace2,0,1,2,3
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-1.75,1.17,-1.841,
AddVertex,-1.75,1.9,-1.841,
AddVertex,-1.8,1.9,-1.841,
AddVertex,-1.8,1.17,-1.841,
AddFace2,3,2,1,0
SetColor,255,255,255,
LoadTexture,doorinsert.bmp,,,
SETTextureCoordinates,0,1,1,
SETTextureCoordinates,1,1,0,
SETTextureCoordinates,2,0,0,
SETTextureCoordinates,3,0,1,
,,,,
,,,,
;Left;,,,,
CreateMeshbuilder,,,,
ADDVertex,-1.7,3.6,1.79,
ADDVertex,-1.7,1.9,1.79,
ADDVertex,-1.7,0.3,1.79,
ADDVertex,-1.7,3.6,-3.57,
ADDVertex,-1.7,1.9,-3.57,
ADDVertex,-1.7,0.3,-3.57,
ADDFace2,0,1,4,3
ADDFace2,1,2,5,4
GenerateNormals,,,,
LoadTexture, int1.bmp,,,
SETTextureCoordinates,0,1,0,
SETTextureCoordinates,1,1,0.45,
SETTextureCoordinates,2,1,1,
SETTextureCoordinates,3,0,0,
SETTextureCoordinates,4,0,0.45,
SETTextureCoordinates,5,0,1,
SETDecalTransparentColor,0,0,255,
,,,,
;Left Window;,,,,
,,,,
CreateMeshbuilder,,,,
ADDVertex,-1.79,3.6,1.79,
ADDVertex,-1.79,1.9,1.79,
ADDVertex,-1.79,1.17,1.79,
ADDVertex,-1.79,3.6,-1.79,
ADDVertex,-1.79,1.9,-1.79,
ADDVertex,-1.79,1.17,-1.79,
ADDFace2,3,4,1,0
ADDFace2,4,5,2,1
SetColor,0,0,0,75
,,,,
,,,,
;Right Thickness;,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.8,1.9,1.79,
AddVertex,1.8,3.27,1.79,
AddVertex,1.7,3.27,1.79,
AddVertex,1.7,1.9,1.79,
AddFace2,0,1,2,3
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.75,1.9,1.791,
AddVertex,1.75,3.27,1.791,
AddVertex,1.8,3.27,1.791,
AddVertex,1.8,1.9,1.791,
AddFace2,3,2,1,0
LoadTexture,doorinsert.bmp,,,
SETTextureCoordinates,0,1,1,
SETTextureCoordinates,1,1,0,
SETTextureCoordinates,2,0,0,
SETTextureCoordinates,3,0,1,
,,,,
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.8,1.17,1.79,
AddVertex,1.8,1.9,1.79,
AddVertex,1.7,1.9,1.79,
AddVertex,1.7,1.17,1.79,
AddFace2,0,1,2,3
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.75,1.17,1.791,
AddVertex,1.75,1.9,1.791,
AddVertex,1.8,1.9,1.791,
AddVertex,1.8,1.17,1.791,
AddFace2,3,2,1,0
SetColor,255,255,255,
LoadTexture,doorinsert.bmp,,,
SETTextureCoordinates,0,1,1,
SETTextureCoordinates,1,1,0,
SETTextureCoordinates,2,0,0,
SETTextureCoordinates,3,0,1,
,,,,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.8,1.9,-1.84,
AddVertex,1.8,3.27,-1.84,
AddVertex,1.7,3.27,-1.84,
AddVertex,1.7,1.9,-1.84,
AddFace2,0,1,2,3
SetColor,255,255,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,1.75,1.9,-1.841,
AddVertex,1.75,3.27,-1.841,
AddVertex,1.8,3.27,-1.841,
AddVertex,1.8,1.9,-1.841,
AddFace2,3,2,1,0
