CreateMeshBuilder,,,,
AddVertex,-5,2,0,
AddVertex,-5,4.3,0,
AddVertex,-5,4.3,25,
AddVertex,-5,2,25,
AddFace2,0,1,2,3
SetColor,200,200,200,100
,,,,
CreateMeshBuilder,,,,
AddVertex,17,2,0,
AddVertex,17,4.3,0,
AddVertex,17,4.3,25,
AddVertex,17,2,25,
AddFace2,3,2,1,0
SetColor,200,200,200,100
,,,,
CreateMeshBuilder,,,,
AddVertex,-5,-0.3,0,
AddVertex,-5,-0.3,25,
AddVertex,2,-0.3,25,
AddVertex,2,-0.3,0,
AddFace2,0,1,2,3
SetColor,200,200,200,
,,,,
CreateMeshBuilder,,,,
AddVertex,17,-0.3,0,
AddVertex,17,-0.3,25,
AddVertex,10,-0.3,25,
AddVertex,10,-0.3,0,
AddFace2,3,2,1,0
SetColor,200,200,200,
,,,,
CreateMeshBuilder,,,,
AddVertex,-5,-0.3,0,
AddVertex,-5,2,0,
AddVertex,-5,2,25,
AddVertex,-5,-0.3,25,
AddFace2,0,1,2,3
LoadTexture,roof_o.png,,,
SetTextureCoordinates,0,0,8,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,20,0,
SetTextureCoordinates,3,20,8,
,,,,
CreateMeshBuilder,,,,
AddVertex,-5,-10,0,
AddVertex,-5,-0.3,0,
AddVertex,-5,-0.3,25,
AddVertex,-5,-10,25,
AddFace2,0,1,2,3
SetColor,150,150,150,
,,,,
CreateMeshBuilder,,,,
AddVertex,17,-0.3,0,
AddVertex,17,2,0,
AddVertex,17,2,25,
AddVertex,17,-0.3,25,
AddFace2,0,1,2,3
LoadTexture,roof_o.png,,,
SetTextureCoordinates,0,0,8,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,20,0,
SetTextureCoordinates,3,20,8,
,,,,
CreateMeshBuilder,,,,
AddVertex,17,-10,0,
AddVertex,17,-0.3,0,
AddVertex,17,-0.3,25,
AddVertex,17,-10,25,
AddFace2,3,2,1,0
SetColor,150,150,150,
,,,,
CreateMeshBuilder,,,,
AddVertex,-5,4.3,0,
AddVertex,-5,4.3,25,
AddVertex,2,4.3,25,
AddVertex,2,4.3,0,
AddFace2,0,1,2,3
LoadTexture,roof1_tile.bmp,,,
SetTextureCoordinates,0,0,8,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,20,0,
SetTextureCoordinates,3,20,8,
,,,,
CreateMeshBuilder,,,,
AddVertex,2,4.3,0,
AddVertex,2,4.3,25,
AddVertex,2.1,4.3,25,
AddVertex,2.1,4.3,0,
AddFace2,0,1,2,3
SetColor,150,55,48,
,,,,
CreateMeshBuilder,,,,
AddVertex,2.1,4.3,0,
AddVertex,2.1,4.3,25,
AddVertex,4,5.2,25,
AddVertex,4,5.2,0,
AddFace2,0,1,2,3
LoadTexture,roof1_tile.bmp,,,
SetTextureCoordinates,0,0,8,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,20,0,
SetTextureCoordinates,3,20,8,
,,,,
CreateMeshBuilder,,,,
AddVertex,4,5.2,0,
AddVertex,4,5.2,25,
AddVertex,5,5.2,25,
AddVertex,5,5.2,0,
AddFace2,0,1,2,3
LoadTexture,roof1_tile.bmp,,,
SetTextureCoordinates,0,0,8,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,20,0,
SetTextureCoordinates,3,20,8,
,,,,
CreateMeshBuilder,,,,
AddVertex,5,5.2,0,
AddVertex,5,5.2,25,
AddVertex,7,5.2,25,
AddVertex,7,5.2,0,
AddFace2,0,1,2,3
SetColor,100,100,100,200
,,,,
CreateMeshBuilder,,,,
AddVertex,7,5.2,0,
AddVertex,7,5.2,25,
AddVertex,8,5.2,25,
AddVertex,8,5.2,0,
