CreateMeshBuilder,,,,
AddVertex,-0.5,0,0,
AddVertex,-0.5,5,0,
AddVertex,16.5,5,0,
AddVertex,16.5,0,0,
AddFace2,0,1,2,3
LoadTexture,roof1_front.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,16.5,0,0,
AddVertex,8,5,0,
AddVertex,8,5,25,
AddVertex,16.5,0,25,
AddFace2,0,1,2,3
LoadTexture,roof1_tile.bmp,,,
SetTextureCoordinates,0,0,16,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,-16,0,
SetTextureCoordinates,3,-16,16,
,,,,
CreateMeshBuilder,,,,
AddVertex,16.5,-0.05,0,
AddVertex,8,4.95,0,
AddVertex,8,4.95,25,
AddVertex,16.5,-0.05,25,
AddFace2,0,1,2,3
SetColor,60,0,0,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,-0.05,25,
AddVertex,8,4.95,25,
AddVertex,8,4.95,0,
AddVertex,-0.5,-0.05,0,
AddFace2,0,1,2,3
SetColor,60,0,0,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,0,25,
AddVertex,-0.5,5,25,
AddVertex,16.5,5,25,
AddVertex,16.5,0,25,
AddFace2,0,1,2,3
LoadTexture,roof1_front.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,0,25,
AddVertex,8,5,25,
AddVertex,8,5,0,
AddVertex,-0.5,0,0,
AddFace2,0,1,2,3
LoadTexture,roof1_tile.bmp,,,
SetTextureCoordinates,0,0,16,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,-16,0,
SetTextureCoordinates,3,-16,16,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,-5,8.3,
AddVertex,-0.5,0.2,8.3,
AddVertex,0,0.2,8.3,
AddVertex,0,-5,8.3,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,-5,8.3,
AddVertex,-0.5,0.2,8.3,
AddVertex,-0.5,0.2,9,
AddVertex,-0.5,-5,9,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,-5,9,
AddVertex,-0.5,0.2,9,
AddVertex,0,0.2,9,
AddVertex,0,-5,9,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,0,-5,8.3,
AddVertex,0,0.2,8.3,
AddVertex,0,0.2,9,
AddVertex,0,-5,9,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,25,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,0.2,8.3,
AddVertex,0,0.2,8.3,
AddVertex,0,0.2,9,
AddVertex,-0.5,0.2,9,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,-5,16.6,
AddVertex,-0.5,0.2,16.6,
AddVertex,0,0.2,16.6,
AddVertex,0,-5,16.6,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
,,,,
CreateMeshBuilder,,,,
AddVertex,-0.5,-5,16.6,
AddVertex,-0.5,0.2,16.6,
AddVertex,-0.5,0.2,17.3,
AddVertex,-0.5,-5,17.3,
AddFace2,0,1,2,3
LoadTexture,roof1_pillar.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
